lat,lon,address,locality,state,postcode,territory_count,territory1,territory2,territory3,territory4,territory5
-27.9382,153.2369,GUANABA QLD 4210,GUANABA,QLD,4210,2,Bundjalung,Yugambeh,NA,NA,NA
-27.9408,153.2793,MAUDSLAND QLD 4210,MAUDSLAND,QLD,4210,2,Bundjalung,Yugambeh,NA,NA,NA
-27.9047,153.3032,OXENFORD QLD 4210,OXENFORD,QLD,4210,2,Bundjalung,Yugambeh,NA,NA,NA
-27.8866,153.2313,WONGAWALLAN QLD 4210,WONGAWALLAN,QLD,4210,2,Bundjalung,Yugambeh,NA,NA,NA
-28.0657,153.2711,ADVANCETOWN QLD 4211,ADVANCETOWN,QLD,4211,2,Bundjalung,Yugambeh,NA,NA,NA
-28.1311,153.1932,BEECHMONT QLD 4211,BEECHMONT,QLD,4211,2,Bundjalung,Yugambeh,NA,NA,NA
-28.1986,153.1816,BINNA BURRA QLD 4211,BINNA BURRA,QLD,4211,2,Bundjalung,Yugambeh,NA,NA,NA
-28.0204,153.369,CARRARA QLD 4211,CARRARA,QLD,4211,2,Bundjalung,Yugambeh,NA,NA,NA
-27.9842,153.2447,CLAGIRABA QLD 4211,CLAGIRABA,QLD,4211,2,Bundjalung,Yugambeh,NA,NA,NA
-27.957,153.3353,GAVEN QLD 4211,GAVEN,QLD,4211,2,Bundjalung,Yugambeh,NA,NA,NA
-28.0289,153.3128,GILSTON QLD 4211,GILSTON,QLD,4211,2,Bundjalung,Yugambeh,NA,NA,NA
-28.0145,153.3331,HIGHLAND PARK QLD 4211,HIGHLAND PARK,QLD,4211,2,Bundjalung,Yugambeh,NA,NA,NA
-28.0494,153.2374,LOWER BEECHMONT QLD 4211,LOWER BEECHMONT,QLD,4211,2,Bundjalung,Yugambeh,NA,NA,NA
-27.9807,153.2731,MOUNT NATHAN QLD 4211,MOUNT NATHAN,QLD,4211,2,Bundjalung,Yugambeh,NA,NA,NA
-28.2264,153.2247,NATURAL BRIDGE QLD 4211,NATURAL BRIDGE,QLD,4211,2,Bundjalung,Yugambeh,NA,NA,NA
-27.9775,153.3124,NERANG QLD 4211,NERANG,QLD,4211,2,Bundjalung,Yugambeh,NA,NA,NA
-28.1374,153.2438,NUMINBAH VALLEY QLD 4211,NUMINBAH VALLEY,QLD,4211,2,Bundjalung,Yugambeh,NA,NA,NA
-27.9401,153.3136,PACIFIC PINES QLD 4211,PACIFIC PINES,QLD,4211,2,Bundjalung,Yugambeh,NA,NA,NA
-28.2944,153.1298,SOUTHERN LAMINGTON QLD 4211,SOUTHERN LAMINGTON,QLD,4211,2,Bundjalung,Yugambeh,NA,NA,NA
-27.9087,153.3349,HELENSVALE QLD 4212,HELENSVALE,QLD,4212,2,Bundjalung,Yugambeh,NA,NA,NA
-27.8675,153.3598,HOPE ISLAND QLD 4212,HOPE ISLAND,QLD,4212,2,Bundjalung,Yugambeh,NA,NA,NA
-28.1615,153.3113,AUSTINVILLE QLD 4213,AUSTINVILLE,QLD,4213,2,Bundjalung,Yugambeh,NA,NA,NA
-28.1449,153.3554,BONOGIN QLD 4213,BONOGIN,QLD,4213,2,Bundjalung,Yugambeh,NA,NA,NA
-28.0831,153.3587,MUDGEERABA QLD 4213,MUDGEERABA,QLD,4213,2,Bundjalung,Yugambeh,NA,NA,NA
-28.1186,153.3122,NERANWOOD QLD 4213,NERANWOOD,QLD,4213,2,Bundjalung,Yugambeh,NA,NA,NA
-28.1884,153.2774,SPRINGBROOK QLD 4213,SPRINGBROOK,QLD,4213,2,Bundjalung,Yugambeh,NA,NA,NA
-28.0624,153.3266,TALLAI QLD 4213,TALLAI,QLD,4213,2,Bundjalung,Yugambeh,NA,NA,NA
-28.0411,153.3331,WORONGARY QLD 4213,WORONGARY,QLD,4213,2,Bundjalung,Yugambeh,NA,NA,NA
-27.9402,153.3643,ARUNDEL QLD 4214,ARUNDEL,QLD,4214,2,Bundjalung,Yugambeh,NA,NA,NA
-27.988,153.3724,ASHMORE QLD 4214,ASHMORE,QLD,4214,2,Bundjalung,Yugambeh,NA,NA,NA
-27.9737,153.3623,MOLENDINAR QLD 4214,MOLENDINAR,QLD,4214,2,Bundjalung,Yugambeh,NA,NA,NA
